delta,theta,alpha,beta,gamma,class
57.571,75.275,247.12,231.02,149.22,1
118.98,106.22,72.326,45.808,58.786,1
38.54,43.622,158.93,185.27,115.7,1
68.605,133.52,195.53,232.93,434.57,1
33.594,41.361,152.61,161.37,87.383,1
72.735,105.97,161.57,303.19,299.03,1
22.626,28.249,113.79,200,129.78,1
47.091,58.656,71.761,60.676,43.468,1
34.214,66.034,122.75,99.817,157.81,1
103.23,130,90.416,83.939,88.822,1
16.12,32.882,97.928,169.25,147.63,1
40.033,55.981,83.529,83.152,43.21,1
32.609,71.173,75.309,92.123,66.683,1
26.573,34.543,133.71,196.51,117.43,1
45.594,103.02,199.2,173.99,106.52,1
110.82,116.74,405.2,349.47,235.62,1
184.96,265.99,200.19,193.01,222.06,1
33.878,14.167,88.877,154.49,160.74,1
68.195,81.535,155.85,185.35,114.5,1
20.826,27.076,59.338,87.873,54.749,1
49.833,49.122,67.431,70.623,51.502,1
162.95,171.08,217.08,163.33,105.48,1
53.852,78.271,178.79,162.98,103.99,1
63.674,141.04,273.53,299.4,211.71,1
70.577,130.41,191.6,341.58,334.78,1
85.374,142.74,82.765,87.613,98.196,1
18.189,25.158,92.877,145.96,62.76,1
83.424,77.959,51.492,65.058,47.214,1
23.114,38.605,123.59,186.53,97.731,1
44.067,132.61,202.86,174.74,109.33,1
57.152,56.991,35.083,37.542,45.193,1
24.758,33.033,101.65,148.05,70.753,1
79.341,145.4,196.41,197.93,338.67,1
37.199,44.724,55.071,62.499,47.161,1
25.766,43.755,62.119,73.102,61.828,1
78.263,79.708,261.08,321.6,260.3,1
26.296,41.899,265.34,389.04,204.98,1
109.63,244.15,242.86,182.36,181.14,1
35.711,28.823,184.35,305.54,161.11,1
19.551,16.668,39.098,58.899,53.537,1
77.957,83.19,52.529,43.368,36.346,1
59.134,121.46,203.02,202.25,286.58,1
26.212,30.795,47.475,104.22,112.82,1
56.917,122.36,256.07,209.45,105.48,1
24.592,31.788,88.43,140.23,68.316,1
83.475,131.69,66.752,50.186,60.8,1
52.316,82.359,101.98,125.97,173.84,1
61.414,73.414,287.78,217.71,158,1
36.73,79.152,168.64,134.45,115.29,1
146.12,262.28,233.73,188.36,226.27,1
30.962,44.822,143.36,214.47,135.44,1
18.092,23.269,89.985,161.96,117.93,1
23.373,31.777,52.279,74.37,41.096,1
27.581,40.995,275.87,420.52,213.39,1
22.768,37.256,135.56,213.31,137.05,1
62.569,82.679,140.21,226.82,228.83,1
43.48,33.752,138.94,177.48,108.31,1
